attendance_id,employee_id,attendance_date,status,overtime_hours
1,1026,2026-07-10,Present,1.0
2,1026,2026-07-09,Present,0.0
3,1026,2026-07-08,Work From Home,1.0
4,1026,2026-07-07,Present,3.0
5,1026,2026-07-06,Present,0.0
6,1026,2026-07-03,Present,0.0
7,1026,2026-07-02,Present,1.5
8,1026,2026-07-01,Present,0.0
9,1026,2026-06-30,Work From Home,1.0
10,1026,2026-06-29,Present,2.0
11,1026,2026-06-26,Present,1.0
12,1026,2026-06-25,Present,1.0
13,1026,2026-06-24,Present,0.0
14,1026,2026-06-23,P,2.0
15,1026,2026-06-22,Present,0.0
16,1026,2026-06-19,Present,0.0
17,1026,2026-06-18,Absent,1.5
18,1026,2026-06-17,Present,2.0
19,1026,2026-06-16,Present,1.5
20,1026,2026-06-15,Present,2.0
21,1026,2026-06-12,Present,0.0
22,1340,2026-07-10,Present,1.0
23,1340,2026-07-09,Leave,3.0
24,1340,2026-07-08,Present,2.0
25,1340,2026-07-07,Work From Home,1.0
26,1340,2026-07-06,Present,0.0
27,1340,2026-07-03,Present,1.0
28,1340,2026-07-02,Present,1.0
29,1340,2026-07-01,Leave,0.0
30,1340,2026-06-30,Present,3.0
31,1340,2026-06-29,Present,1.0
32,1340,2026-06-26,Present,1.5
33,1340,2026-06-25,Present,0.0
34,1340,2026-06-24,Work From Home,0.0
35,1340,2026-06-23,Present,2.0
36,1340,2026-06-22,Present,0.0
37,1340,2026-06-19,Leave,2.0
38,1340,2026-06-18,Present,3.0
39,1340,2026-06-17,Present,0.0
40,1340,2026-06-16,Present,2.0
41,1340,2026-06-15,Absent,1.0
42,1340,2026-06-12,Present,1.5
43,1048,2026-07-10,Present,0.0
44,1048,2026-07-09,Present,0.0
45,1048,2026-07-08,Present,3.0
46,1048,2026-07-07,Work From Home,0.0
47,1048,2026-07-06,Present,2.0
48,1048,2026-07-03,Present,1.5
49,1048,2026-07-02,Present,0.0
50,1048,2026-07-01,Present,0.0
51,1048,2026-06-30,Work From Home,2.0
52,1048,2026-06-29,Work From Home,0.0
53,1048,2026-06-26,Present,0.0
54,1048,2026-06-25,Work From Home,0.0
55,1048,2026-06-24,Present,1.0
56,1048,2026-06-23,Present,2.0
57,1048,2026-06-22,Present,0.0
58,1048,2026-06-19,Absent,1.0
59,1048,2026-06-18,Present,1.5
60,1048,2026-06-17,Present,0.0
61,1048,2026-06-16,Present,1.0
62,1048,2026-06-15,Present,0.0
63,1048,2026-06-12,Present,1.0
