history_id,employee_id,start_date,end_date,job_id,department_id
1,1001,2015-03-23,,15,4
2,1002,2011-04-04,,15,4
3,1003,2018-12-16,,20,5
4,1004,2024-05-17,,7,9
5,1005,2010-06-09,,3,1
6,1006,2023-08-10,,11,3
7,1007,2024-02-26,2024-10-05,1,1
8,1007,2024-10-05,,2,1
9,1008,2019-03-22,,7,9
10,1009,2011-02-19,2012-10-16,30,8
11,1009,2012-10-16,,30,8
12,1010,2016-08-27,2019-01-09,28,8
13,1010,2019-01-09,,28,8
14,1011,2023-05-03,,6,9
15,1012,2015-12-13,,6,9
16,1013,2016-04-27,2017-08-18,6,9
17,1013,2017-08-18,,5,9
18,1014,2019-08-05,2020-09-18,30,8
19,1014,2020-09-18,,30,8
20,1015,2022-07-23,,13,4
21,1016,2014-12-28,,5,9
22,1017,2014-01-02,2016-03-24,1,1
23,1017,2016-03-24,2018-09-01,3,1
24,1017,2018-09-01,,3,1
25,1018,2017-01-15,,7,9
26,1019,2010-01-04,,20,5
27,1020,2015-04-09,2016-01-26,21,6
28,1020,2016-01-26,,24,6
29,1021,2019-07-15,,1,1
30,1022,2015-10-25,,12,3
31,1023,2019-04-22,2020-11-19,10,3
32,1023,2020-11-19,2022-01-28,11,3
33,1023,2022-01-28,,10,3
34,1024,2016-02-14,,16,4
35,1025,2015-11-02,,28,8
36,1026,2014-06-22,,1,1
37,1027,2025-03-11,2026-02-07,3,1
38,1027,2026-02-07,,2,1
39,1028,2024-07-10,,25,10
40,1029,2011-12-11,,19,5
41,1030,2019-02-12,2021-07-12,13,4
42,1030,2021-07-12,,15,4
43,1031,2020-03-06,,23,6
44,1032,2014-01-09,2015-01-20,18,5
45,1032,2015-01-20,,18,5
46,1033,2011-08-30,2012-02-27,8,9
47,1033,2012-02-27,,6,9
48,1034,2012-03-23,,17,5
49,1035,2024-01-08,,7,9
50,1036,2025-09-11,,30,8
51,1037,2021-08-22,2022-03-08,2,1
52,1037,2022-03-08,,3,1
53,1038,2017-01-20,,4,1
54,1039,2019-10-30,,18,5
55,1040,2020-03-30,,26,10
56,1041,2022-05-19,,29,8
57,1042,2023-03-28,,2,1
58,1043,2020-12-11,,27,10
59,1044,2015-06-24,,24,6
60,1045,2017-10-01,,9,3
61,1046,2025-05-20,,17,5
62,1047,2022-12-31,2024-11-29,20,5
63,1047,2024-11-29,,19,5
64,1048,2015-01-23,,5,9
65,1049,2015-03-31,2016-08-12,21,6
66,1049,2016-08-12,,22,6
67,1050,2020-03-05,2021-12-03,14,4
68,1050,2021-12-03,,16,4
69,1051,2012-03-24,,28,8
70,1052,2022-06-07,2023-06-08,10,3
71,1052,2023-06-08,,12,3
72,1053,2013-11-28,,15,4
73,1054,2019-07-25,2020-07-02,4,1
74,1054,2020-07-02,,3,1
75,1055,2024-09-07,,27,10
76,1056,2019-09-08,,5,9
77,1057,2022-12-18,,19,5
78,1058,2025-10-05,,2,1
79,1059,2013-06-28,,21,6
80,1060,2023-06-11,,2,1
81,1061,2020-04-24,2022-05-24,4,1
82,1061,2022-05-24,2022-12-07,2,1
83,1061,2022-12-07,,4,1
84,1062,2017-08-13,,26,10
85,1063,2022-12-31,,30,8
86,1064,2024-06-17,,23,6
87,1065,2024-06-29,,21,6
88,1066,2023-07-09,2024-02-02,27,10
89,1066,2024-02-02,,27,10
90,1067,2016-12-05,,21,6
91,1068,2025-07-16,2026-06-22,10,3
92,1068,2026-06-22,,10,3
93,1069,2016-04-27,,29,8
94,1070,2019-10-24,,30,8
95,1071,2020-08-06,,3,1
96,1072,2021-03-18,2022-11-08,28,8
97,1072,2022-11-08,,28,8
98,1073,2015-09-09,,4,1
99,1074,2020-04-07,,9,3
100,1075,2019-11-12,,8,9
101,1076,2023-07-08,2025-08-21,19,5
102,1076,2025-08-21,,20,5
103,1077,2011-07-05,,28,8
104,1078,2018-09-06,,12,3
105,1079,2013-07-14,2014-06-16,7,9
106,1079,2014-06-16,,8,9
107,1080,2019-03-20,,8,9
108,1081,2013-08-19,2014-12-15,11,3
109,1081,2014-12-15,,10,3
110,1082,2010-08-21,,21,6
111,1083,2019-04-28,,2,1
112,1084,2019-05-19,,8,9
113,1085,2016-04-23,,21,6
114,1086,2023-12-24,,30,8
115,1087,2021-07-25,2023-08-08,28,8
116,1087,2023-08-08,,29,8
117,1088,2020-08-23,,17,5
118,1089,2013-05-25,,29,8
119,1090,2020-11-10,,23,6
120,1091,2017-09-28,2018-05-07,26,10
121,1091,2018-05-07,,25,10
122,1092,2025-01-09,,14,4
123,1093,2012-01-03,,17,5
124,1094,2020-03-11,2021-02-14,7,9
125,1094,2021-02-14,,5,9
126,1095,2019-08-05,2020-04-26,12,3
127,1095,2020-04-26,,10,3
128,1096,2012-08-26,2013-05-29,13,4
129,1096,2013-05-29,,14,4
130,1097,2024-11-23,2026-06-07,30,8
131,1097,2026-06-07,,30,8
132,1098,2014-08-10,,28,8
133,1099,2011-06-07,2012-03-28,7,9
134,1099,2012-03-28,,7,9
135,1100,2012-11-09,,12,3
136,1101,2011-07-06,2013-07-11,2,1
137,1101,2013-07-11,,4,1
138,1102,2013-03-19,,22,6
139,1103,2014-02-15,2015-06-15,11,3
140,1103,2015-06-15,2016-03-27,9,3
141,1103,2016-03-27,,9,3
142,1104,2016-01-09,,6,9
143,1105,2022-05-20,,16,4
144,1106,2015-02-28,,25,10
145,1107,2011-09-01,,1,1
146,1108,2010-05-18,2011-03-30,4,1
147,1108,2011-03-30,2011-11-08,1,1
148,1108,2011-11-08,,4,1
149,1109,2022-09-03,,8,9
150,1110,2014-09-28,2016-08-17,5,9
151,1110,2016-08-17,2018-11-28,8,9
152,1110,2018-11-28,,8,9
153,1111,2018-09-23,,10,3
154,1112,2015-02-12,,20,5
155,1113,2018-01-27,,7,9
156,1114,2018-07-16,2020-02-13,14,4
157,1114,2020-02-13,,16,4
158,1115,2023-11-29,,4,1
159,1116,2018-10-24,2020-03-05,24,6
160,1116,2020-03-05,,21,6
161,1117,2018-12-28,,8,9
162,1118,2021-06-15,2022-07-22,7,9
163,1118,2022-07-22,,7,9
